id_road,segment,point,latitude,longitude,speed
AGR,S01,P001,-0.29755,-78.46091,70
AGR,S01,P002,-0.29719,-78.4612,70
AGR,S01,P003,-0.29655,-78.46152,70
AGR,S01,P004,-0.29605,-78.46169,70
AGR,S01,P005,-0.29447,-78.46261,70
AGR,S01,P006,-0.29299,-78.46358,70
AGR,S01,P007,-0.29174,-78.46438,70
AGR,S01,P008,-0.29065,-78.46514,70
AGR,S02,P009,-0.29022,-78.46544,90
AGR,S02,P010,-0.28947,-78.46593,90
AGR,S02,P011,-0.28848,-78.46658,90
AGR,S02,P012,-0.28703,-78.46755,90
AGR,S02,P013,-0.28538,-78.46864,90
AGR,S02,P014,-0.28388,-78.46962,90
AGR,S02,P015,-0.2826,-78.47044,90
AGR,S03,P016,-0.28166,-78.47105,70
AGR,S03,P017,-0.28077,-78.47178,70
AGR,S03,P018,-0.27999,-78.47296,70
AGR,S04,P019,-0.27951,-78.47456,90
AGR,S04,P020,-0.27924,-78.47694,90
AGR,S04,P021,-0.27889,-78.47921,90
AGR,S05,P022,-0.27837,-78.48127,90
AGR,S05,P023,-0.27761,-78.48367,90
AGR,S05,P024,-0.27687,-78.48597,90
AGR,S06,P025,-0.27611,-78.4883,70
AGR,S06,P026,-0.27462,-78.49009,70
AGR,S06,P027,-0.27239,-78.49031,70
AGR,S07,P028,-0.27093,-78.48937,90
AGR,S07,P029,-0.27045,-78.48869,90
AGR,S07,P030,-0.26995,-78.48797,90
AGR,S08,P031,-0.26962,-78.48753,70
AGR,S08,P032,-0.26845,-78.48669,70
AGR,S08,P033,-0.26706,-78.48648,70
AGR,S09,P034,-0.26585,-78.48679,90
AGR,S09,P035,-0.26472,-78.4874,90
AGR,S10,P036,-0.26351,-78.48798,70
AGR,S10,P037,-0.26212,-78.48826,70
AGR,S10,P038,-0.26054,-78.48787,70
AGR,S11,P039,-0.25961,-78.48721,90
AGR,S11,P040,-0.25848,-78.48611,90
AGR,S11,P041,-0.2572,-78.48505,90
AGR,S12,P042,-0.25585,-78.48437,90
AGR,S12,P043,-0.25474,-78.48391,90
AGR,S12,P044,-0.25351,-78.48341,90
AGR,S13,P045,-0.25224,-78.48292,70
AGR,S13,P046,-0.25122,-78.48273,70
AGR,S13,P047,-0.24996,-78.48282,70
AGR,S14,P048,-0.24869,-78.48331,90
AGR,S14,P049,-0.24691,-78.4843,90
AGR,S15,P050,-0.24518,-78.48492,90
AGR,S15,P051,-0.24393,-78.48515,90
AGR,S15,P052,-0.24281,-78.48542,90
AGR,S16,P053,-0.24169,-78.48561,90
AGR,S16,P054,-0.24028,-78.48535,90
AGR,S17,P055,-0.23902,-78.48485,90
AGR,S17,P056,-0.23796,-78.48452,90
AGR,S17,P057,-0.23649,-78.48426,90
AGR,S18,P058,-0.23539,-78.48421,90
AGR,S18,P059,-0.23396,-78.48429,90
AGR,S18,P060,-0.23204,-78.48441,90
AGR,S19,P061,-0.23038,-78.48455,70
AGR,S19,P062,-0.22925,-78.485,70
AGR,S20,P063,-0.22834,-78.48581,90
AGR,S20,P064,-0.22773,-78.48667,90
AGR,S20,P065,-0.22709,-78.48758,90
AGR,S21,P066,-0.2267,-78.48815,70
AGR,S21,P067,-0.2265,-78.48982,70
AGR,S21,P068,-0.22719,-78.49134,70
AGR,S21,P069,-0.2271,-78.49302,70
AGR,S22,P070,-0.22739,-78.49422,90
AGR,S22,P071,-0.22806,-78.49507,90
AGR,S22,P072,-0.22923,-78.4965,90
AGR,S23,P073,-0.22974,-78.4974,90
AGR,S23,P074,-0.23048,-78.49829,90
AGR,S23,P075,-0.23182,-78.49994,90
AGR,S23,P076,-0.23261,-78.5013,90
AVI,S24,P077,-0.2331,-78.5022,50
AVI,S24,P078,-0.23286,-78.50299,50
AVI,S25,P079,-0.23224,-78.50294,70
AVI,S25,P080,-0.23196,-78.50272,70
AVI,S25,P081,-0.23146,-78.50236,70
AVI,S25,P082,-0.2309,-78.50196,70
AVI,S25,P083,-0.23038,-78.50157,70
