id_road,segment,point,latitude,longitude,speed,,
AGR,S001,P001,-0.29755,-78.46091,70,,
AGR,S001,P002,-0.29719,-78.4612,70,,
AGR,S001,P003,-0.29655,-78.46152,70,,
AGR,S001,P004,-0.29605,-78.46169,70,,
AGR,S001,P005,-0.29447,-78.46261,70,,
AGR,S001,P006,-0.29299,-78.46358,70,,
AGR,S001,P007,-0.29174,-78.46438,70,,
AGR,S001,P008,-0.29065,-78.46514,70,,
AGR,S002,P009,-0.29022,-78.46544,90,,
AGR,S002,P010,-0.28947,-78.46593,90,,
AGR,S002,P011,-0.28848,-78.46658,90,,
AGR,S002,P012,-0.28703,-78.46755,90,,
AGR,S002,P013,-0.28538,-78.46864,90,,
AGR,S002,P014,-0.28388,-78.46962,90,,
AGR,S002,P015,-0.2826,-78.47044,90,,
AGR,S003,P016,-0.28166,-78.47105,70,,
AGR,S003,P017,-0.28077,-78.47178,70,,
AGR,S003,P018,-0.27999,-78.47296,70,,
AGR,S004,P019,-0.27951,-78.47456,90,,
AGR,S004,P020,-0.27924,-78.47694,90,,
AGR,S004,P021,-0.27889,-78.47921,90,,
AGR,S005,P022,-0.27837,-78.48127,90,,
AGR,S005,P023,-0.27761,-78.48367,90,,
AGR,S005,P024,-0.27687,-78.48597,90,,
AGR,S006,P025,-0.27611,-78.4883,70,,
AGR,S006,P026,-0.27462,-78.49009,70,,
AGR,S006,P027,-0.27239,-78.49031,70,,
AGR,S007,P028,-0.27093,-78.48937,90,,
AGR,S007,P029,-0.27045,-78.48869,90,,
AGR,S007,P030,-0.26995,-78.48797,90,,
AGR,S008,P031,-0.26962,-78.48753,70,,
AGR,S008,P032,-0.26845,-78.48669,70,,
AGR,S008,P033,-0.26706,-78.48648,70,,
AGR,S009,P034,-0.26585,-78.48679,90,,
AGR,S009,P035,-0.26472,-78.4874,90,,
AGR,S010,P036,-0.26351,-78.48798,70,,
AGR,S010,P037,-0.26212,-78.48826,70,,
AGR,S010,P038,-0.26054,-78.48787,70,,
AGR,S011,P039,-0.25961,-78.48721,90,,
AGR,S011,P040,-0.25848,-78.48611,90,,
AGR,S011,P041,-0.2572,-78.48505,90,,
AGR,S012,P042,-0.25585,-78.48437,90,,
AGR,S012,P043,-0.25474,-78.48391,90,,
AGR,S012,P044,-0.25351,-78.48341,90,,
AGR,S013,P045,-0.25224,-78.48292,70,,
AGR,S013,P046,-0.25122,-78.48273,70,,
AGR,S013,P047,-0.24996,-78.48282,70,,
AGR,S014,P048,-0.24869,-78.48331,90,,
AGR,S014,P049,-0.24691,-78.4843,90,,
AGR,S015,P050,-0.24518,-78.48492,90,,
AGR,S015,P051,-0.24393,-78.48515,90,,
AGR,S015,P052,-0.24281,-78.48542,90,,
AGR,S016,P053,-0.24169,-78.48561,90,,
AGR,S016,P054,-0.24028,-78.48535,90,,
ASB,S017,P055,-0.23945,-78.48496,70,,
ASB,S017,P056,-0.23875,-78.48385,70,,
ASB,S017,P057,-0.23974,-78.48293,70,,
ASB,S017,P058,-0.24136,-78.48299,70,,
ASB,S017,P059,-0.24315,-78.48256,70,,
ASB,S018,P060,-0.2451517,-78.482036,80,,
ASB,S018,P061,-0.24716,-78.48046,80,,
ASB,S018,P062,-0.24693,-78.47743,80,,
ASB,S019,P063,-0.24625,-78.4765794,90,,
ASB,S019,P064,-0.24435,-78.47575,90,,
ASB,S019,P065,-0.24202,-78.47433,90,,
ASB,S020,P066,-0.2404623,-78.4740411,80,,
ASB,S020,P067,-0.23939,-78.47365,80,,
ASB,S020,P068,-0.23713,-78.47312,80,,
ASB,S021,P069,-0.2361545,-78.4729807,70,,
ASB,S021,P070,-0.23545,-78.47184,70,,
ASB,S021,P071,-0.2347,-78.47095,70,,
ASB,S022,P072,-0.2329449,-78.4711955,90,,
ASB,S022,P073,-0.23193,-78.4708,90,,
ASB,S023,P074,-0.2304129,-78.4698539,80,,
ASB,S023,P075,-0.22942,-78.46914,80,,
ASB,S024,P076,-0.2269675,-78.4691956,90,,
ASB,S024,P077,-0.22592,-78.46907,90,,
ASB,S024,P078,-0.22318,-78.4682,90,,
ASB,S024,P079,-0.22047,-78.46704,90,,
ASB,S024,P080,-0.21767,-78.46613,90,,
ASB,S025,P081,-0.2167598,-78.4656737,90,,
ASB,S025,P082,-0.21539,-78.46449,90,,
ASB,S026,P083,-0.2127216,-78.463612,90,,
ASB,S026,P084,-0.2118,-78.4628,90,,
ASB,S027,P085,-0.2114627,-78.4625328,90,,
ASB,S027,P086,-0.21006,-78.46203,90,,
ASB,S027,P087,-0.20665,-78.46084,90,,
ASB,S028,P088,-0.2057125,-78.4603633,90,,
ASB,S028,P089,-0.20392,-78.4593,90,,
ASB,S029,P090,-0.2032219,-78.4585558,60,,
ASB,S029,P091,-0.20217,-78.45746,60,,
ASB,S029,P092,-0.20021,-78.45669,60,,
ASB,S030,P093,-0.1993428,-78.4582266,60,,
ASB,S030,P094,-0.19887,-78.46005,60,,
ASB,S031,P095,-0.1982826,-78.4607021,90,,
ASB,S031,P096,-0.19839,-78.46164,90,,
ASB,S032,P097,-0.1984273,-78.4636659,90,,
ASB,S032,P098,-0.1985,-78.46425,90,,
ASB,S033,P099,-0.1986053,-78.4649117,50,,
ASB,S033,P100,-0.19808,-78.46644,50,,
ASB,S034,P101,-0.197297,-78.4666341,60,,
ASB,S034,P102,-0.19612,-78.4667,60,,
ASB,S034,P103,-0.19563,-78.4651,60,,
ASB,S035,P104,-0.1954661,-78.4640558,70,,
ASB,S035,P105,-0.19461,-78.46228,70,,
ASB,S035,P106,-0.19399,-78.46052,70,,
ASB,S036,P107,-0.1939235,-78.4597063,60,,
ASB,S036,P108,-0.19328,-78.4591,60,,
ASB,S037,P109,-0.191998,-78.4586679,60,,
ASB,S037,P110,-0.19187,-78.45795,60,,
ASB,S038,P111,-0.1920938,-78.4568272,70,,
ASB,S038,P112,-0.19246,-78.45529,70,,
ASB,S038,P113,-0.19209,-78.45418,70,,
ASB,S038,P114,-0.19111,-78.45408,70,,
ASB,S038,P115,-0.18882,-78.45425,70,,
ASB,S039,P116,-0.187721,-78.4541203,70,,
ASB,S039,P117,-0.18584,-78.45369,70,,
ASB,S039,P118,-0.18511,-78.45273,70,,
