timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence
1040069704,-3948072,-935734539,1.14,0,2553.2,66,0,0
1040069705,-3948140,-935734261,1.42,0,2548.8,66,0,0
1040069710,-3947960,-935734936,1.42,0,2548.4,69,0,0
1040069711,-3947941,-935734954,1.45,0,2548.4,69,0,0
1040069714,-3947788,-935734815,3.37,0,2548.4,72,0,0
1040069719,-3947550,-935734636,6.09,0,2548,75,0,0
1040069720,-3947392,-935734512,7.95,1.25,2547.6,76,0,0
1040069723,-3946116,-935733209,24.9,5.916,2546.6,76,0,0
1040069726,-3944973,-935731961,40.63,7.707,2545.8,73,0,0
1040069728,-3944332,-935731236,49.64,8.491,2545.4,72,0,0
1040069732,-3940838,-935727110,99.94,11.225,2544.4,70,0,0
1040069737,-3936580,-935722015,161.71,11.318,2544,69,0,0
1040069740,-3934242,-935719189,195.84,11.514,2544.8,69,0,0
1040069745,-3930274,-935714701,251.57,11.206,2547.6,68,0,0
1040069747,-3928628,-935712803,274.95,11.206,2548.4,68,0,0
1040069752,-3924999,-935707661,333.61,12.615,2551,67,0,0
1040069756,-3922721,-935702538,385.94,12.503,2553.6,66,0,0
1040069757,-3922274,-935701197,399.11,12.615,2554.4,66,0,0
1040069761,-3920505,-935695263,456.86,14.257,2557.2,66,0,0
1040069762,-3920127,-935693768,471.24,15.2,2558.2,67,0,0
1040069766,-3918533,-935687172,534.51,16.459,2562.6,67,0,0
1040069768,-3917453,-935683425,570.87,16.263,2564.2,67,0,0
1040069772,-3915558,-935676743,635.65,16.189,2567,66,0,0
1040069775,-3914368,-935672519,676.58,13.147,2568.2,66,0,0
1040069778,-3913682,-935669990,701.02,7.81,2569,66,0,0
1040069781,-3913320,-935668759,712.98,4.152,2569.2,66,0,0
1040069785,-3913100,-935668101,719.43,0,2570,65,0,0
1040069796,-3913022,-935668639,719.43,0,2573.2,62,0,0
1040069803,-3912992,-935668665,719.43,0,2577.6,60,0,0
1040069843,-3912661,-935667417,731.88,5.673,2578,59,0,0
1040069846,-3911902,-935664578,759.28,9.097,2578.2,63,0,0
1040069850,-3910692,-935659184,810.85,12.055,2578.8,65,0,0
1040069854,-3910210,-935653272,866.31,14.08,2579.2,64,0,0
1040069855,-3910402,-935651760,880.52,14.164,2579.2,64,0,0
1040069857,-3911409,-935648694,910.69,14.882,2579.2,65,0,0
1040069861,-3915008,-935642419,978.1,16.73,2579,65,0,0
1040069863,-3917031,-935639200,1013.49,17.15,2578.6,65,0,0
1040069866,-3919374,-935634151,1065.37,17.019,2576.8,65,0,0
1040069867,-3919908,-935632415,1082.31,17.103,2576,65,0,0
1040069869,-3920298,-935628839,1115.92,17.15,2574.2,64,0,0
1040069871,-3919920,-935625160,1150.46,17.15,2572.6,65,0,0
1040069872,-3919454,-935623264,1168.67,17.168,2571.6,65,0,0
1040069875,-3917634,-935617740,1222.93,18.092,2569.2,64,0,0
1040069876,-3916948,-935615909,1241.16,18.092,2568.6,64,0,0
1040069879,-3915192,-935610473,1294.46,17.411,2565.4,63,0,0
1040069880,-3914860,-935608663,1311.63,17.392,2564.2,63,0,0
1040069882,-3914934,-935605087,1345.07,17.392,2561.6,63,0,0
1040069883,-3915386,-935603338,1361.92,17.374,2560.4,63,0,0
1040069884,-3916102,-935601602,1379.41,17.392,2559.2,63,0,0
1040069886,-3918299,-935598196,1417.2,18.979,2557.2,63,0,0
1040069889,-3922348,-935592949,1478.88,20.528,2554.4,63,0,0
1040069891,-3925277,-935589495,1520.96,20.621,2552.6,64,0,0
1040069894,-3929231,-935584455,1580.56,18.923,2550.8,65,0,0
1040069896,-3931578,-935581052,1619.05,18.829,2550,65,0,0
1040069897,-3932524,-935579298,1637.61,18.829,2549.8,65,0,0
1040069899,-3933591,-935575504,1674.44,18.512,2549.4,66,0,0
1040069901,-3933555,-935571783,1709.28,17.299,2549.2,66,0,0
1040069903,-3932335,-935568297,1743.82,17.252,2549,66,0,0
1040069905,-3930028,-935565233,1779.59,17.299,2548.8,66,0,0
1040069907,-3927093,-935562990,1814.02,17.252,2549,66,0,0
1040069909,-3923493,-935561945,1848.87,17.168,2549.8,66,0,0
1040069911,-3919668,-935562054,1884.46,17.103,2550.6,67,0,0
1040069913,-3915965,-935563082,1920.14,17.168,2551.4,67,0,0
1040069914,-3914187,-935563853,1938.12,17.168,2552,68,0,0
1040069917,-3908998,-935566871,1993.87,17.28,2553.8,68,0,0
1040069918,-3907333,-935567934,2012.21,17.374,2554.6,68,0,0
1040069921,-3902433,-935571211,2066.95,17.56,2556.4,66,0,0
1040069924,-3898049,-935574790,2119.64,17.682,2558.6,66,0,0
1040069927,-3894722,-935579498,2173.5,17.682,2561.4,65,0,0
1040069930,-3892443,-935585595,2234.27,19.249,2564.2,65,0,0
1040069933,-3890945,-935591435,2290.5,19.622,2567.2,65,0,0
1040069936,-3889336,-935597329,2347.5,18.465,2569.4,65,0,0
1040069937,-3888574,-935599063,2365.15,17.784,2570.2,65,0,0
1040069939,-3886524,-935602295,2400.94,16.935,2571.8,65,0,0
1040069941,-3883638,-935604124,2432.81,15.899,2573.6,65,0,0
1040069943,-3880239,-935604759,2464.93,16.03,2576,65,0,0
1040069945,-3876688,-935604185,2498.4,16.347,2578.2,65,0,0
1040069947,-3873552,-935602521,2531.45,16.347,2580.2,65,0,0
1040069949,-3871188,-935599822,2564.99,16.282,2581.8,65,0,0
1040069951,-3869896,-935596581,2597.59,16.282,2583.4,64,0,0
1040069952,-3869749,-935594809,2614.18,16.282,2584,64,0,0
1040069953,-3869872,-935593010,2630.99,16.282,2584.8,64,0,0
1040069955,-3870882,-935589736,2663.01,15.825,2587,63,0,0
1040069959,-3874299,-935583571,2728.68,15.694,2592,65,0,0
1040069962,-3877050,-935578895,2779.21,15.76,2594.6,65,0,0
1040069965,-3879822,-935574057,2831.14,16.945,2596,65,0,0
1040069967,-3881811,-935570734,2867.2,17.299,2596.4,65,0,0
1040069970,-3884755,-935565589,2922.41,18.484,2596.4,64,0,0
1040069973,-3887568,-935560258,2978.58,18.531,2595.8,63,0,0
1040069975,-3889108,-935556546,3016.05,18.428,2595.2,63,0,0
1040069978,-3890299,-935550986,3069.18,17.458,2594.6,62,0,0
1040069979,-3890306,-935549063,3087.13,17.7,2594.4,62,0,0
1040069981,-3889822,-935545241,3123.12,18.074,2594,63,0,0
1040069982,-3889298,-935543333,3141.57,18.204,2593.8,64,0,0
1040069985,-3886828,-935537936,3196.94,17.803,2593,64,0,0
1040069988,-3884073,-935532864,3250.71,17.775,2592.4,63,0,0
1040069990,-3882118,-935529519,3286.8,17.775,2591.8,59,0,0
1040069991,-3881083,-935527788,3305.58,17.803,2591.6,59,0,0
1040069994,-3878096,-935522242,3364.28,19.137,2591.4,60,0,0
1040069995,-3877246,-935520351,3383.61,19.175,2591.4,61,0,0
1040069996,-3876566,-935518400,3402.87,19.333,2591.4,62,0,0
1040069998,-3875832,-935514241,3442.31,19.641,2591.6,63,0,0
1040070000,-3876061,-935509957,3482.39,20.052,2592,63,0,0
1040070001,-3876497,-935507845,3502.51,19.884,2592.2,63,0,0
1040070002,-3877249,-935505771,3523.07,19.641,2592.6,63,0,0
1040070004,-3879227,-935501973,3562.98,19.678,2593.2,63,0,0
1040070007,-3882457,-935496933,3618.74,17.85,2594.6,63,0,0
1040070008,-3883441,-935495542,3634.6,16.571,2595.2,63,0,0
1040070011,-3885775,-935492096,3673.34,12.568,2597.2,64,0,0
1040070014,-3887260,-935489886,3698.14,7.595,2599.6,66,0,0
1040070018,-3888482,-935488164,3717.81,4.292,2602.6,66,0,0
1040070022,-3888831,-935487695,3723.24,0.942,2604.8,66,0,0
1040070030,-3888916,-935487897,3723.61,0,2606.8,64,0,0
1040070034,-3889748,-935486584,3738.09,4.936,2607.2,64,0,0
1040070037,-3891253,-935484439,3762.48,8.538,2607.4,64,0,0
1040070039,-3892511,-935482555,3783.58,10.152,2607.6,67,0,0
1040070041,-3894050,-935480295,3809.03,12.671,2608.2,69,0,0
1040070043,-3895934,-935477809,3838.07,14.145,2609.2,72,0,0
1040070045,-3897956,-935474924,3870.86,15.806,2610,71,0,0
1040070048,-3900871,-935470356,3921.33,16.749,2611.6,71,0,0
1040070050,-3902551,-935466990,3956.41,17.392,2613.6,71,0,0
1040070053,-3904157,-935461530,4009.59,17.719,2616.4,70,0,0
1040070055,-3904347,-935457694,4045.46,17.616,2618.2,70,0,0
1040070056,-3904161,-935455799,4063.23,17.616,2619,70,0,0
1040070057,-3903803,-935453931,4080.97,17.616,2619.6,69,0,0
1040070059,-3902614,-935450337,4116.3,17.719,2621,69,0,0
1040070062,-3899942,-935444828,4173.38,18.839,2622.6,69,0,0
1040070063,-3898972,-935442974,4192.87,19.081,2622.8,69,0,0
1040070066,-3895597,-935436989,4256.86,20.528,2623.2,71,0,0
1040070068,-3893450,-935433053,4298.62,20.388,2622.4,71,0,0
1040070071,-3890211,-935427722,4356.76,19.081,2619.6,71,0,0
1040070072,-3888899,-935426233,4375.22,19.081,2618.2,71,0,0
1040070074,-3885792,-935423783,4412.1,19.044,2615,72,0,0
1040070075,-3883936,-935422869,4431.31,19.035,2613.4,71,0,0
1040070076,-3881987,-935422286,4450.17,19.016,2612,71,0,0
1040070077,-3879961,-935421956,4469.2,18.839,2610.4,71,0,0
1040070078,-3877820,-935421932,4489.04,18.839,2609.2,71,0,0
1040070080,-3873237,-935422332,4531.68,20.882,2607,69,0,0
1040070083,-3866451,-935423229,4595.1,20.472,2603.2,68,0,0
1040070086,-3859676,-935423214,4658.06,20.658,2599.2,68,0,0
1040070088,-3855391,-935422143,4699.04,20.658,2596.4,68,0,0
1040070089,-3853374,-935421304,4719.3,20.658,2595,67,0,0
1040070090,-3851454,-935420244,4739.66,20.574,2593.6,67,0,0
1040070092,-3848026,-935417486,4780.59,20.546,2590.8,66,0,0
1040070094,-3845357,-935414096,4820.8,20.546,2588.2,66,0,0
1040070095,-3844229,-935412202,4841.34,20.444,2587,65,0,0
1040070096,-3843305,-935410146,4862.35,20.444,2585.8,65,0,0
1040070098,-3842157,-935405698,4905.25,21.274,2583,65,0,0
1040070100,-3842002,-935401018,4948.98,21.638,2580.4,65,0,0
1040070102,-3842860,-935396533,4991.63,21.031,2578.2,65,0,0
1040070103,-3843676,-935394358,5013.29,21.265,2577.2,65,0,0
1040070105,-3845801,-935390247,5056.43,21.274,2575.2,65,0,0
1040070108,-3850018,-935384473,5122.9,21.265,2573.6,65,0,0
1040070109,-3851385,-935382617,5144.34,21.246,2573.4,65,0,0
1040070112,-3855467,-935377071,5208.42,20.938,2575.2,66,0,0
1040070115,-3859204,-935371545,5270.53,20.817,2579.8,66,0,0
1040070116,-3860274,-935369619,5291.04,20.798,2581.8,67,0,0
1040070119,-3862439,-935363560,5351.17,20.313,2587.6,67,0,0
1040070120,-3862853,-935361013,5375.23,20.192,2589.4,67,0,0
1040070122,-3863005,-935357054,5412.2,20.126,2592.6,66,0,0
1040070125,-3862927,-935350557,5472.82,20.238,2597,66,0,0
1040070128,-3862643,-935343982,5534.23,20.238,2602.6,66,0,0
1040070129,-3862491,-935341799,5554.65,20.238,2604.8,66,0,0
1040070132,-3861999,-935335331,5615.17,19.846,2611.2,66,0,0
1040070135,-3862157,-935328870,5675.57,18.624,2616.2,67,0,0
1040070138,-3864134,-935323767,5726.8,18.493,2621.2,66,0,0
1040070140,-3866522,-935320538,5764.14,18.755,2624.8,66,0,0
1040070141,-3868191,-935318776,5786.72,18.624,2626.4,65,0,0
1040070144,-3872295,-935314818,5839.71,18.559,2630.8,66,0,0
1040070147,-3876727,-935310609,5896.52,18.633,2635.6,66,0,0
1040070150,-3881249,-935306171,5955.43,19.837,2640,66,0,0
1040070153,-3885819,-935301669,6015.09,20.042,2643,65,0,0
1040070156,-3890403,-935297091,6075.34,19.436,2645.2,65,0,0
1040070158,-3893066,-935294472,6110.06,19.492,2646.4,65,0,0
1040070161,-3897541,-935290021,6168.76,19.454,2647.8,65,0,0
1040070164,-3901402,-935285307,6225.52,18.661,2649.8,64,0,0
1040070165,-3902378,-935283551,6244.23,18.661,2650.4,64,0,0
1040070167,-3903836,-935279701,6282.62,19.193,2651.6,64,0,0
1040070170,-3905526,-935273649,6341.23,19.268,2653,65,0,0
1040070173,-3907254,-935267463,6401.13,19.277,2655.2,65,0,0
1040070176,-3908983,-935261223,6461.51,19.893,2658.2,65,0,0
1040070179,-3910960,-935255066,6521.81,19.968,2662,65,0,0
1040070180,-3911674,-935252998,6542.21,19.968,2663.4,65,0,0
1040070183,-3913782,-935246822,6603.06,20.164,2667.6,65,0,0
1040070186,-3915754,-935240554,6664.34,20.257,2671.8,65,0,0
1040070188,-3917047,-935236388,6705.02,20.313,2675,65,0,0
1040070191,-3918981,-935230098,6766.38,20.36,2679.6,65,0,0
1040070194,-3920890,-935223786,6827.87,20.462,2684,63,0,0
1040070197,-3922790,-935217581,6888.4,20.462,2688.2,63,0,0
1040070198,-3923327,-935215463,6908.77,20.462,2689.4,63,0,0
1040070201,-3924215,-935209120,6968.57,20.07,2693.2,64,0,0
1040070202,-3924383,-935207006,6988.36,20.033,2694.2,64,0,0
1040070203,-3924553,-935204939,7007.71,19.977,2695.2,64,0,0
1040070206,-3925462,-935198953,7064.25,18.465,2697.4,65,0,0
1040070207,-3926061,-935197116,7082.27,18.335,2698.2,65,0,0
1040070210,-3928606,-935191766,7137.53,18.559,2700.6,65,0,0
